Date,Team,Opponent,Competition,Result,Goals
2006-04-15,Los Angeles,Chivas USA,MLS,W 1-2,0
2006-04-22,Los Angeles,Columbus,MLS,L 0-1,0
2006-04-29,Los Angeles,Salt Lake,MLS,W 2-3,1
2006-05-06,Los Angeles,New England,MLS,L 4-0,0
2006-05-10,Los Angeles,Dallas,MLS,L 1-0,0
2006-05-24,USA,Morocco,Friendly,L 0-1,0
2006-05-26,USA,Venezuela,Friendly,W 2-0,0
2006-05-29,USA,Latvia,Friendly,W 1-0,0
2006-06-12,USA,Czech Rep,World Cup,L 0-3,0
2006-06-17,USA,Italy,World Cup,D 1-1,0
2006-06-22,USA,Ghana,World Cup,L 2-1,0
2006-07-01,Los Angeles,Kansas City,MLS,W 0-2,2
2006-07-04,Los Angeles,New York,MLS,W 1-0,1
2006-07-08,Los Angeles,Salt Lake,MLS,W 2-0,0
2006-07-15,Los Angeles,Chivas USA,MLS,D 0-0,0
2006-07-22,Los Angeles,Columbus,MLS,D 1-1,0
2006-08-09,Los Angeles,Houston,MLS,W 0-1,0
2006-08-12,Los Angeles,Colorado,MLS,L 1-0,0
2006-08-20,Los Angeles,Dallas,MLS,W 2-0,1
2006-08-23,Los Angeles,Colorado,US Open Cup,W 3-1,2
2006-08-26,Los Angeles,DC United,MLS,W 2-5,2
2006-08-30,Los Angeles,Salt Lake,MLS,L 1-0,0
2006-09-02,Los Angeles,Kansas City,MLS,W 2-1,0
2006-09-06,Los Angeles,Houston,US Open Cup,W 3-1,1
2006-09-10,Los Angeles,Houston,MLS,L 1-2,1
2006-09-16,Los Angeles,Colorado,MLS,D 0-0,0
2006-09-23,Los Angeles,Chicago,MLS,L 2-1,1
2006-09-27,Los Angeles,Chicago,US Open Cup,L 3-1,0
2006-09-30,Los Angeles,Chivas USA,MLS,W 3-0,0
2006-10-07,Los Angeles,Dallas,MLS,L 2-1,1
2006-10-14,Los Angeles,Dallas,MLS,W 5-2,2
2007-01-20,USA,Denmark,Friendly,W 3-1,1
2007-02-06,USA,Mexico,Friendly,W 2-0,1
2007-03-25,USA,Ecuador,Friendly,W 3-1,3
2007-03-28,USA,Guatemala,Friendly,D 0-0,0
2007-04-08,Los Angeles,Houston,MLS,D 0-0,0
2007-04-12,Los Angeles,Dallas,MLS,L 1-2,0
2007-04-28,Los Angeles,Chivas USA,MLS,W 3-1,1
2007-05-12,Los Angeles,New England,MLS,L 2-3,0
2007-05-20,Los Angeles,Chivas USA,MLS,D 1-1,1
2007-05-26,Los Angeles,Colorado,MLS,L 1-0,0
2007-06-02,Los Angeles,DC United,MLS,D 0-0,0
2007-06-06,USA,Guatemala,Gold Cup,W 1-0,0
2007-06-09,USA,Trin & Tob,Gold Cup,W 1-0,0
2007-06-11,USA,El Salvador,Gold Cup,W 4-0,1
2007-06-16,USA,Panama,Gold Cup,W 2-1,1
2007-06-20,USA,Canada,Gold Cup,W 2-1,1
2007-06-24,USA,Mexico,Gold Cup,W 2-1,1
2007-07-04,Los Angeles,Chicago,MLS,W 2-0,2
2007-07-07,Los Angeles,Kansas City,MLS,D 2-2,0
2007-07-10,Los Angeles,Richmond,US Open Cup,L 0-1,0
2007-07-19,MLS All-Star,Celtic,All-Star,W 2-0,0
2007-07-24,Los Angeles,Pachuca,Super L,W 2-1,1
2007-07-28,Los Angeles,Guadalajara,Super L,L 1-2,1
2007-07-31,Los Angeles,Dallas,Super L,W 5-6,3
2007-08-06,Los Angeles,Toronto,MLS,D 0-0,0
2007-08-09,Los Angeles,DC United,MLS,L 1-0,0
2007-08-12,Los Angeles,New England,MLS,L 1-0,0
2007-08-15,Los Angeles,DC United,Super L,W 2-0,1
2007-08-18,Los Angeles,NY Red Bulls,MLS,L 5-4,1
2007-08-22,USA,Sweeden,Friendly,W 1-0,0
2007-08-23,Los Angeles,Chivas USA,MLS,L 0-3,0
2007-08-29,Los Angeles,Pachuca,Super L,L 1-1,0
